question_id,sub1_baseline_answer,sub5b_paper_faithful_fix2_answer,same_answer,proxy_label,mode,operator_guess,source_dataset,video_id,duration_seconds,duration_bucket,foi,foi_status,foi_seconds,nsvs_indices_any_empty,nsvs_indices_empty_count,foi_suspicious_reasons,retrieval_quality_bucket
4,B,C,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P03_webcam01_P03_friedegg.mp4,284.533,>60s,"[0, 2309]",non_minus1,154.0,False,0,,disagree_foi_clean
6,D,B,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P07_webcam01_P07_friedegg.mp4,199.267,>60s,"[465, 1034]",non_minus1,38.0,False,0,,disagree_foi_clean
8,A,B,False,sub1_baseline_preferred_proxy,mc,until,ct,ct_zlyrv-h97z8.mp4,563.363,>60s,"[1, 15600]",non_minus1,520.52,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
9,Yes,No,False,sub1_baseline_preferred_proxy,bool,after,agqa,agqa_L0HDB.mp4,2.12,2-10s,[-1],-1,,False,0,foi_minus_one;missing_nsvs_indices,disagree_foi_suspicious
20,No,Yes,False,sub1_baseline_preferred_proxy,bool,unknown,star,star_YIIFF.mp4,0.96,<2s,[-1],-1,,False,0,foi_minus_one;missing_nsvs_indices,disagree_foi_suspicious
21,C,B,False,sub1_baseline_preferred_proxy,mc,immediately_after,agqa,agqa_EDKXT.mp4,1.0,<2s,"[0, 24]",non_minus1,1.0,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
33,B,C,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P04_cam01_P04_scrambledegg.mp4,181.8,>60s,"[1410, 2414]",non_minus1,67.0,False,0,,disagree_foi_clean
34,No,Yes,False,sub1_baseline_preferred_proxy,bool,unknown,star,star_WPU76.mp4,3.0,2-10s,"[0, 74]",non_minus1,3.0,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
41,B,C,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P50_cam01_P50_sandwich.mp4,77.133,>60s,"[270, 1110]",non_minus1,56.067,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
42,No,Yes,False,sub1_baseline_preferred_proxy,bool,unknown,star,star_4GCPM.mp4,0.52,<2s,[-1],-1,,False,0,foi_minus_one;missing_nsvs_indices,disagree_foi_suspicious
48,Yes,No,False,sub1_baseline_preferred_proxy,bool,unknown,bf,bf_P06_cam01_P06_pancake.mp4,332.4,>60s,[-1],-1,,False,0,foi_minus_one;missing_nsvs_indices,disagree_foi_suspicious
51,A,D,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P04_cam01_P04_scrambledegg.mp4,181.8,>60s,"[765, 1574]",non_minus1,54.0,False,0,,disagree_foi_clean
52,D,A,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P19_cam01_P19_pancake.mp4,263.6,>60s,"[1590, 1964]",non_minus1,25.0,False,0,,disagree_foi_clean
60,Yes,No,False,sub1_baseline_preferred_proxy,bool,immediately_after,agqa,agqa_1Q4SL.mp4,1.4,<2s,"[0, 34]",non_minus1,1.4,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
65,A,D,False,sub1_baseline_preferred_proxy,mc,always_after,ct,ct_J5zJqnLoWCU.mp4,240.407,>60s,"[3721, 3959]",non_minus1,9.968,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
69,C,D,False,sub1_baseline_preferred_proxy,mc,after,ct,ct_Jt2DA2jex7Y.mp4,271.855,>60s,"[337, 6517]",non_minus1,257.799,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
84,No,Yes,False,sub1_baseline_preferred_proxy,bool,since,agqa,agqa_APLZS.mp4,1.8,<2s,"[0, 44]",non_minus1,1.8,False,0,,disagree_foi_clean
88,D,C,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P46_cam01_P46_pancake.mp4,361.2,>60s,"[3765, 5219]",non_minus1,97.0,False,0,,disagree_foi_clean
91,A,C,False,sub1_baseline_preferred_proxy,mc,before,ct,ct_6mXnRdnzro0.mp4,309.709,>60s,"[4411, 5190]",non_minus1,26.026,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
94,A,C,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P26_webcam02_P26_friedegg.mp4,209.8,>60s,"[2625, 3029]",non_minus1,27.0,False,0,,disagree_foi_clean
97,D,B,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P51_webcam01_P51_friedegg.mp4,194.2,>60s,"[0, 224]",non_minus1,15.0,False,0,,disagree_foi_clean
100,A,C,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P50_cam01_P50_sandwich.mp4,77.133,>60s,"[210, 554]",non_minus1,23.0,False,0,,disagree_foi_clean
106,B,C,False,sub1_baseline_preferred_proxy,mc,immediately_after,star,star_X4WWH.mp4,2.16,2-10s,"[0, 53]",non_minus1,2.16,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
107,C,A,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P35_webcam02_P35_milk.mp4,38.467,10-60s,"[0, 389]",non_minus1,26.0,False,0,,disagree_foi_clean
117,D,A,False,sub1_baseline_preferred_proxy,mc,when,agqa,agqa_8M5VK.mp4,0.52,<2s,[-1],-1,,False,0,foi_minus_one;missing_nsvs_indices,disagree_foi_suspicious
120,No,Yes,False,sub1_baseline_preferred_proxy,bool,after,star,star_58VZI.mp4,1.24,<2s,"[0, 30]",non_minus1,1.24,False,0,,disagree_foi_clean
121,C,A,False,sub1_baseline_preferred_proxy,mc,always_before,agqa,agqa_XF2ZM.mp4,2.2,2-10s,[-1],-1,,False,0,foi_minus_one;missing_nsvs_indices,disagree_foi_suspicious
131,No,Yes,False,sub1_baseline_preferred_proxy,bool,unknown,agqa,agqa_NA5F9.mp4,0.4,<2s,"[0, 9]",non_minus1,0.4,True,1,empty_nsvs_indices_array;foi_too_short,disagree_foi_suspicious
136,C,B,False,sub1_baseline_preferred_proxy,mc,immediately_after,agqa,agqa_4VYE5.mp4,1.48,<2s,"[0, 36]",non_minus1,1.48,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
143,C,D,False,sub1_baseline_preferred_proxy,mc,until,star,star_UBYBQ.mp4,1.16,<2s,"[0, 28]",non_minus1,1.16,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
145,B,A,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P35_webcam02_P35_milk.mp4,38.467,10-60s,"[0, 510]",non_minus1,34.067,False,0,,disagree_foi_clean
146,No,Yes,False,sub1_baseline_preferred_proxy,bool,immediately_after,agqa,agqa_X8DZV.mp4,2.24,2-10s,"[0, 55]",non_minus1,2.24,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
153,Yes,No,False,sub1_baseline_preferred_proxy,bool,unknown,star,star_EGNZB.mp4,0.76,<2s,[-1],-1,,False,0,foi_minus_one;missing_nsvs_indices,disagree_foi_suspicious
156,C,D,False,sub1_baseline_preferred_proxy,mc,unknown,agqa,agqa_80ADD.mp4,1.28,<2s,[-1],-1,,False,0,foi_minus_one;missing_nsvs_indices,disagree_foi_suspicious
157,A,D,False,sub1_baseline_preferred_proxy,mc,unknown,ct,ct_9CMaZEq1byU.mp4,227.727,>60s,[-1],-1,,False,0,foi_minus_one;missing_nsvs_indices,disagree_foi_suspicious
161,D,A,False,sub1_baseline_preferred_proxy,mc,unknown,ct,ct_t7gBwQgUgvU.mp4,315.849,>60s,"[871, 8669]",non_minus1,260.227,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
165,B,C,False,sub1_baseline_preferred_proxy,mc,immediately_after,star,star_50E06.mp4,2.12,2-10s,"[0, 52]",non_minus1,2.12,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
176,B,A,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P43_cam02_P43_friedegg.mp4,172.267,>60s,"[825, 1304]",non_minus1,32.0,False,0,,disagree_foi_clean
177,D,A,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P53_cam02_P53_cereals.mp4,56.6,10-60s,"[0, 643]",non_minus1,42.984,False,0,,disagree_foi_clean
178,B,C,False,sub1_baseline_preferred_proxy,mc,unknown,agqa,agqa_P76D1.mp4,1.28,<2s,[-1],-1,,False,0,foi_minus_one;missing_nsvs_indices,disagree_foi_suspicious
179,D,A,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P46_cam01_P46_pancake.mp4,361.2,>60s,"[0, 494]",non_minus1,33.0,False,0,,disagree_foi_clean
185,B,A,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P51_webcam01_P51_friedegg.mp4,194.2,>60s,"[0, 554]",non_minus1,37.0,False,0,,disagree_foi_clean
192,No,Yes,False,sub1_baseline_preferred_proxy,bool,always_before,ct,ct_bbkXBYBjr98.mp4,540.081,>60s,"[1897, 2279]",non_minus1,15.974,False,0,,disagree_foi_clean
198,Yes,No,False,sub1_baseline_preferred_proxy,bool,always_before,ct,ct_8hl0HMNvtkU.mp4,336.803,>60s,"[5071, 7348]",non_minus1,76.009,False,0,,disagree_foi_clean
202,D,B,False,sub1_baseline_preferred_proxy,mc,until,star,star_KKONU.mp4,1.64,<2s,"[0, 40]",non_minus1,1.64,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
206,No,Yes,False,sub1_baseline_preferred_proxy,bool,before,ct,ct_11n4mQxwuaM.mp4,413.747,>60s,"[2311, 2459]",non_minus1,4.972,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
207,Yes,No,False,sub1_baseline_preferred_proxy,bool,after,ct,ct_0IAFMFVNwZc.mp4,153.959,>60s,"[96, 720]",non_minus1,26.035,False,0,,disagree_foi_clean
208,A,C,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P13_webcam01_P13_scrambledegg.mp4,113.133,>60s,[-1],-1,,False,0,foi_minus_one,disagree_foi_suspicious
211,Yes,No,False,sub1_baseline_preferred_proxy,bool,immediately_after,agqa,agqa_4ZJXR.mp4,1.56,<2s,[-1],-1,,False,0,foi_minus_one;missing_nsvs_indices,disagree_foi_suspicious
212,No,Yes,False,sub1_baseline_preferred_proxy,bool,immediately_after,agqa,agqa_R4ENI.mp4,1.72,<2s,"[0, 42]",non_minus1,1.72,False,0,,disagree_foi_clean
217,B,C,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P26_webcam02_P26_friedegg.mp4,209.8,>60s,"[2295, 2609]",non_minus1,21.0,False,0,,disagree_foi_clean
219,B,C,False,sub1_baseline_preferred_proxy,mc,always_after,agqa,agqa_S0Z00.mp4,1.8,<2s,"[0, 44]",non_minus1,1.8,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
223,B,C,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P35_cam01_P35_friedegg.mp4,178.0,>60s,[-1],-1,,True,1,foi_minus_one;empty_nsvs_indices_array,disagree_foi_suspicious
224,No,Yes,False,sub1_baseline_preferred_proxy,bool,unknown,bf,bf_P23_webcam01_P23_tea.mp4,47.667,10-60s,"[270, 570]",non_minus1,20.067,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
230,B,D,False,sub1_baseline_preferred_proxy,mc,before,ct,ct_q7ODD4Xbg4E.mp4,285.085,>60s,"[421, 8429]",non_minus1,267.234,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
235,B,A,False,sub1_baseline_preferred_proxy,mc,after,agqa,agqa_7DGWM.mp4,2.56,2-10s,"[0, 63]",non_minus1,2.56,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
237,A,B,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P19_cam01_P19_pancake.mp4,263.6,>60s,"[1035, 1964]",non_minus1,62.0,False,0,,disagree_foi_clean
238,C,D,False,sub1_baseline_preferred_proxy,mc,in_turn_occurs,ct,ct_aiYkICcjuTA.mp4,390.4,>60s,"[6955, 7393]",non_minus1,17.56,False,0,,disagree_foi_clean
249,Yes,No,False,sub1_baseline_preferred_proxy,bool,until,ct,ct_1rRgCcZxjUI.mp4,228.261,>60s,[-1],-1,,False,0,foi_minus_one,disagree_foi_suspicious
251,No,Yes,False,sub1_baseline_preferred_proxy,bool,always_before,ct,ct_fBXXynUuXqQ.mp4,490.633,>60s,"[3090, 6029]",non_minus1,98.0,False,0,,disagree_foi_clean
255,No,Yes,False,sub1_baseline_preferred_proxy,bool,unknown,star,star_MWAGL.mp4,1.92,<2s,"[0, 47]",non_minus1,1.92,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
256,B,D,False,sub1_baseline_preferred_proxy,mc,until,star,star_WYYUD.mp4,0.72,<2s,[-1],-1,,False,0,foi_minus_one;missing_nsvs_indices,disagree_foi_suspicious
258,C,D,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P03_cam01_P03_cereals.mp4,55.6,10-60s,"[240, 659]",non_minus1,28.0,False,0,,disagree_foi_clean
262,B,A,False,sub1_baseline_preferred_proxy,mc,since,agqa,agqa_ME4YL.mp4,3.12,2-10s,"[0, 77]",non_minus1,3.12,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
275,Yes,No,False,sub1_baseline_preferred_proxy,bool,always_before,ct,ct_p-iZ7K26sv8.mp4,579.979,>60s,"[8251, 9208]",non_minus1,31.965,False,0,,disagree_foi_clean
281,B,D,False,sub1_baseline_preferred_proxy,mc,always_after,star,star_JPEQK.mp4,0.64,<2s,"[0, 15]",non_minus1,0.64,True,1,empty_nsvs_indices_array;foi_too_short,disagree_foi_suspicious
283,No,Yes,False,sub1_baseline_preferred_proxy,bool,unknown,ct,ct_JqeExazEgis.mp4,144.067,>60s,"[0, 3930]",non_minus1,131.033,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
285,C,B,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P38_webcam01_P38_scrambledegg.mp4,230.067,>60s,[-1],-1,,False,0,foi_minus_one,disagree_foi_suspicious
287,A,C,False,sub1_baseline_preferred_proxy,mc,until,star,star_XOWBN.mp4,1.56,<2s,"[0, 38]",non_minus1,1.56,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
290,D,C,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P15_webcam01_P15_scrambledegg.mp4,117.6,>60s,"[240, 600]",non_minus1,24.067,False,0,,disagree_foi_clean
293,A,B,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P03_webcam01_P03_friedegg.mp4,284.533,>60s,"[1050, 1469]",non_minus1,28.0,False,0,,disagree_foi_clean
294,Yes,No,False,sub1_baseline_preferred_proxy,bool,unknown,agqa,agqa_BVGMT.mp4,1.08,<2s,[-1],-1,,False,0,foi_minus_one;missing_nsvs_indices,disagree_foi_suspicious
296,A,B,False,sub1_baseline_preferred_proxy,mc,before,star,star_FXIVQ.mp4,1.48,<2s,"[0, 36]",non_minus1,1.48,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
298,A,D,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P07_webcam01_P07_friedegg.mp4,199.267,>60s,"[585, 1049]",non_minus1,31.0,False,0,,disagree_foi_clean
299,No,Yes,False,sub1_baseline_preferred_proxy,bool,in_turn_occurs,star,star_XJE4Y.mp4,1.92,<2s,"[0, 47]",non_minus1,1.92,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
304,Yes,No,False,sub1_baseline_preferred_proxy,bool,always_before,star,star_QUGSS.mp4,1.32,<2s,[-1],-1,,True,1,foi_minus_one;empty_nsvs_indices_array,disagree_foi_suspicious
308,D,A,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P43_cam02_P43_friedegg.mp4,172.267,>60s,"[1005, 1364]",non_minus1,24.0,False,0,,disagree_foi_clean
312,No,Yes,False,sub1_baseline_preferred_proxy,bool,until,ct,ct_q4CvMzLWXC0.mp4,227.661,>60s,"[390, 6120]",non_minus1,191.224,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
319,B,A,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P04_cam01_P04_scrambledegg.mp4,181.8,>60s,"[630, 1095]",non_minus1,31.067,False,0,,disagree_foi_clean
321,D,A,False,sub1_baseline_preferred_proxy,mc,since,agqa,agqa_I4K7B.mp4,1.52,<2s,[-1],-1,,False,0,foi_minus_one;missing_nsvs_indices,disagree_foi_suspicious
323,C,D,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P26_webcam02_P26_friedegg.mp4,209.8,>60s,"[0, 675]",non_minus1,45.067,False,0,,disagree_foi_clean
327,No,Yes,False,sub1_baseline_preferred_proxy,bool,before,ct,ct_bgLzk70GVOk.mp4,66.7,>60s,"[541, 989]",non_minus1,14.982,False,0,,disagree_foi_clean
332,B,C,False,sub1_baseline_preferred_proxy,mc,since,star,star_9EP7R.mp4,1.6,<2s,"[0, 39]",non_minus1,1.6,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
338,D,C,False,sub1_baseline_preferred_proxy,mc,unknown,ct,ct_R6RhAb0EPmc.mp4,169.47,>60s,[-1],-1,,False,0,foi_minus_one;missing_nsvs_indices,disagree_foi_suspicious
343,B,D,False,sub1_baseline_preferred_proxy,mc,always_before,bf,bf_P03_webcam01_P03_friedegg.mp4,284.533,>60s,"[1080, 1469]",non_minus1,26.0,False,0,,disagree_foi_clean
348,D,A,False,sub1_baseline_preferred_proxy,mc,always_before,star,star_Q18ZQ.mp4,1.72,<2s,[-1],-1,,False,0,foi_minus_one;missing_nsvs_indices,disagree_foi_suspicious
354,Yes,No,False,sub1_baseline_preferred_proxy,bool,always_before,agqa,agqa_RPY8D.mp4,1.72,<2s,"[0, 42]",non_minus1,1.72,False,0,,disagree_foi_clean
355,A,C,False,sub1_baseline_preferred_proxy,mc,immediately_after,agqa,agqa_BZ171.mp4,1.76,<2s,"[0, 43]",non_minus1,1.76,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
360,No,Yes,False,sub1_baseline_preferred_proxy,bool,unknown,ct,ct_wvT8Abrvx6o.mp4,130.36,>60s,"[480, 2928]",non_minus1,97.96,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
365,A,C,False,sub1_baseline_preferred_proxy,mc,before,agqa,agqa_CWMSY.mp4,0.76,<2s,"[0, 18]",non_minus1,0.76,True,1,empty_nsvs_indices_array;foi_too_short,disagree_foi_suspicious
366,No,Yes,False,sub1_baseline_preferred_proxy,bool,since,star,star_18FTZ.mp4,1.52,<2s,[-1],-1,,True,1,foi_minus_one;empty_nsvs_indices_array,disagree_foi_suspicious
368,A,D,False,sub1_baseline_preferred_proxy,mc,when,agqa,agqa_SBT2X.mp4,1.28,<2s,"[0, 31]",non_minus1,1.28,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
372,No,Yes,False,sub1_baseline_preferred_proxy,bool,always_before,bf,bf_P50_webcam02_P50_friedegg.mp4,106.6,>60s,"[1125, 1259]",non_minus1,9.0,False,0,,disagree_foi_clean
374,No,Yes,False,sub1_baseline_preferred_proxy,bool,always_after,bf,bf_P04_webcam01_P04_scrambledegg.mp4,181.8,>60s,"[2355, 2685]",non_minus1,22.067,False,0,,disagree_foi_clean
376,Yes,No,False,sub1_baseline_preferred_proxy,bool,unknown,bf,bf_P50_webcam01_P50_pancake.mp4,327.867,>60s,[-1],-1,,False,0,foi_minus_one;missing_nsvs_indices,disagree_foi_suspicious
386,B,A,False,sub1_baseline_preferred_proxy,mc,unknown,star,star_9RRED.mp4,0.72,<2s,[-1],-1,,False,0,foi_minus_one;missing_nsvs_indices,disagree_foi_suspicious
387,D,C,False,sub1_baseline_preferred_proxy,mc,while,star,star_L0YQM.mp4,1.52,<2s,"[0, 37]",non_minus1,1.52,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
396,No,Yes,False,sub1_baseline_preferred_proxy,bool,unknown,star,star_A52N5.mp4,1.76,<2s,[-1],-1,,False,0,foi_minus_one;missing_nsvs_indices,disagree_foi_suspicious
400,No,Yes,False,sub1_baseline_preferred_proxy,bool,unknown,star,star_MOTWW.mp4,1.36,<2s,"[0, 33]",non_minus1,1.36,False,0,,disagree_foi_clean
405,B,C,False,sub1_baseline_preferred_proxy,mc,always_before,star,star_9TL3J.mp4,1.32,<2s,[-1],-1,,False,0,foi_minus_one;missing_nsvs_indices,disagree_foi_suspicious
406,Yes,No,False,sub1_baseline_preferred_proxy,bool,always_after,bf,bf_P04_webcam01_P04_scrambledegg.mp4,181.8,>60s,"[2325, 2550]",non_minus1,15.067,False,0,,disagree_foi_clean
408,C,D,False,sub1_baseline_preferred_proxy,mc,since,agqa,agqa_VNMNF.mp4,1.36,<2s,[-1],-1,,False,0,foi_minus_one;missing_nsvs_indices,disagree_foi_suspicious
414,D,A,False,sub1_baseline_preferred_proxy,mc,always_after,agqa,agqa_P3JMV.mp4,1.56,<2s,"[0, 24]",non_minus1,1.0,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
419,A,C,False,sub1_baseline_preferred_proxy,mc,before,star,star_IG1YT.mp4,1.2,<2s,"[0, 25]",non_minus1,1.04,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
420,No,Yes,False,sub1_baseline_preferred_proxy,bool,unknown,star,star_2BUDH.mp4,1.44,<2s,"[0, 35]",non_minus1,1.44,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
422,Yes,No,False,sub1_baseline_preferred_proxy,bool,in_turn_occurs,bf,bf_P54_webcam02_P54_sandwich.mp4,67.667,>60s,"[405, 794]",non_minus1,26.0,False,0,,disagree_foi_clean
423,No,Yes,False,sub1_baseline_preferred_proxy,bool,always_before,ct,ct_vl8rZXq7gK8.mp4,196.04,>60s,"[3284, 3648]",non_minus1,14.6,False,0,,disagree_foi_clean
427,B,A,False,sub1_baseline_preferred_proxy,mc,always_before,ct,ct_aVX38lBTGMI.mp4,427.727,>60s,"[1441, 1918]",non_minus1,15.949,False,0,,disagree_foi_clean
433,No,Yes,False,sub1_baseline_preferred_proxy,bool,always_before,ct,ct_lCPKsTZ3gIA.mp4,378.2,>60s,"[6270, 8099]",non_minus1,61.0,False,0,,disagree_foi_clean
439,B,C,False,sub1_baseline_preferred_proxy,mc,until,ct,ct_OqJ7-y5bgS4.mp4,217.551,>60s,"[1621, 6119]",non_minus1,150.117,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
443,A,C,False,sub1_baseline_preferred_proxy,mc,until,agqa,agqa_TIWRY.mp4,1.92,<2s,"[0, 47]",non_minus1,1.92,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
453,B,A,False,sub1_baseline_preferred_proxy,mc,in_turn_occurs,ct,ct_75aPoMFQN8Q.mp4,485.352,>60s,[-1],-1,,False,0,foi_minus_one,disagree_foi_suspicious
463,B,A,False,sub1_baseline_preferred_proxy,mc,while,agqa,agqa_JOPGB.mp4,1.92,<2s,"[0, 47]",non_minus1,1.92,True,1,empty_nsvs_indices_array,disagree_foi_suspicious
464,No,Yes,False,sub1_baseline_preferred_proxy,bool,unknown,agqa,agqa_UOBM0.mp4,1.08,<2s,[-1],-1,,False,0,foi_minus_one;missing_nsvs_indices,disagree_foi_suspicious
